model,regime,country,feature_set,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV,best_val_qlike,n_features
LightGBM,911,KR,momentum,expanding,Recovery,0.24730905089301933,0.18603144540146885,0.012761506033047624,0.17397009642299605,0.016986119801219845,14
XGBoost,911,KR,momentum,static,Full Test,0.35895888672714144,0.2120486676814937,0.018069653122821133,0.254356140670729,0.01826322497934937,14
XGBoost,911,KR,momentum,static,Shock,0.6420149068197729,0.28445879221575104,0.03688549395117548,0.46876045528837984,0.01826322497934937,14
XGBoost,911,KR,momentum,static,Recovery,0.24221562926157353,0.19411221481520982,0.013408848513962722,0.17038711776068696,0.01826322497934937,14
XGBoost,911,KR,momentum,expanding,Full Test,0.3709421513163285,0.21490740898129895,0.01822164189902482,0.2628474109700453,0.01826322497934937,14
XGBoost,911,KR,momentum,expanding,Shock,0.6404934340353754,0.2849205701592864,0.03680078649674353,0.467649567881332,0.01826322497934937,14
XGBoost,911,KR,momentum,expanding,Recovery,0.2646978401045886,0.19756469933170578,0.013619468466562385,0.1862022784838316,0.01826322497934937,14
Ridge,911,JP,momentum,static,Full Test,0.21725609127228693,0.1725287947276791,0.012036414923034611,0.15823901105405752,0.010655758074223014,14
Ridge,911,JP,momentum,static,Shock,0.28425056355867034,0.21777306011330969,0.013276746560157506,0.1642688985503184,0.010655758074223014,14
Ridge,911,JP,momentum,static,Recovery,0.19555228510889297,0.16046365729151096,0.01170565981980184,0.15305678904312442,0.010655758074223014,14
Ridge,911,JP,momentum,expanding,Full Test,0.2148074571092496,0.1692033024407265,0.011693552742023683,0.15645554230930048,0.010655758074223014,14
Ridge,911,JP,momentum,expanding,Shock,0.281914426913952,0.21448435321445128,0.013302475384726857,0.16291884109155208,0.010655758074223014,14
Ridge,911,JP,momentum,expanding,Recovery,0.19301116592159673,0.15712835556773322,0.011264506703969505,0.15106788084311612,0.010655758074223014,14
ElasticNet,911,JP,momentum,static,Full Test,0.2175280337320728,0.17316589841354668,0.011988386994103937,0.15843708101678272,0.0110958255092807,14
ElasticNet,911,JP,momentum,static,Shock,0.28886019856420014,0.22544791099168085,0.014102047371260109,0.16693281469386925,0.0110958255092807,14
ElasticNet,911,JP,momentum,static,Recovery,0.19412875563558288,0.15922402839271088,0.01142474422686229,0.15194260697068396,0.0110958255092807,14
ElasticNet,911,JP,momentum,expanding,Full Test,0.215007778708391,0.16974926036489071,0.011707463907981181,0.15660144704115528,0.0110958255092807,14
ElasticNet,911,JP,momentum,expanding,Shock,0.28489279458787636,0.21811325361258999,0.01384174390027833,0.16464004498697526,0.0110958255092807,14
ElasticNet,911,JP,momentum,expanding,Recovery,0.1921254686508884,0.15685219549883753,0.011138322576701942,0.15037465457760155,0.0110958255092807,14
Huber,911,JP,momentum,static,Full Test,0.2184350384973978,0.17238435943136782,0.011808349063991285,0.1590977001793841,0.01167224709033126,14
Huber,911,JP,momentum,static,Shock,0.2991026703195501,0.23570046587721386,0.014785597079213961,0.17285195706115186,0.01167224709033126,14
Huber,911,JP,momentum,static,Recovery,0.19126139621901256,0.1555000643791422,0.011014416259931907,0.14969835385398714,0.01167224709033126,14
Huber,911,JP,momentum,expanding,Full Test,0.21624124048562593,0.16928657448954745,0.011539546439521745,0.157499841975261,0.01167224709033126,14
Huber,911,JP,momentum,expanding,Shock,0.29509916665344216,0.2276361380208358,0.014478051123151774,0.17053832528030238,0.01167224709033126,14
Huber,911,JP,momentum,expanding,Recovery,0.18975618303676955,0.1537266908812039,0.010755945190553737,0.1485202387715108,0.01167224709033126,14
LightGBM,911,JP,momentum,static,Full Test,0.235287209052945,0.18528085845687942,0.014062620532208005,0.1713720202557863,0.012021972745930736,14
LightGBM,911,JP,momentum,static,Shock,0.32561127143357027,0.25935820324223646,0.018868243931843196,0.188171324075216,0.012021972745930736,14
LightGBM,911,JP,momentum,static,Recovery,0.2045728140615978,0.16552689984745086,0.012781120958971952,0.16011706551190985,0.012021972745930736,14
LightGBM,911,JP,momentum,expanding,Full Test,0.2276792574401425,0.1765490756710399,0.01296261929618576,0.16583074989458765,0.012021972745930736,14
LightGBM,911,JP,momentum,expanding,Shock,0.31509339848225043,0.24184272604752663,0.016929529793202645,0.18209302687441245,0.012021972745930736,14
