model,regime,country,feature_set,best_val_qlike,param_alpha,param_l1_ratio,param_epsilon,param_n_estimators,param_learning_rate,param_max_depth,param_num_leaves,param_min_child_samples,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_min_child_weight,param_gamma
LightGBM,gfc,US,momentum,0.016072240820248027,,,,205.0,0.047960467239636484,8.0,190.0,40.0,0.6296178606936361,0.7433862914177091,0.00037961668958008145,2.0678409397839492,,
XGBoost,gfc,US,momentum,0.016650789480584748,,,,397.0,0.02812978544621044,4.0,,,0.8572137811775317,0.8537151682040042,0.01575233883255088,0.01572225286411935,1.1480003596730175,0.017584642993332213
Ridge,gfc,US,extended,0.017836604180967032,0.0010215156685612666,,,,,,,,,,,,,
ElasticNet,gfc,US,extended,0.018142457398674035,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
Huber,gfc,US,extended,0.01707644905888842,0.005918380564366994,,1.6690931258406048,,,,,,,,,,,
LightGBM,gfc,US,extended,0.01641622056322182,,,,389.0,0.019692805644272535,6.0,36.0,43.0,0.7684801381339355,0.9404984421426738,0.041129379134674696,0.0005462741710297703,,
XGBoost,gfc,US,extended,0.015761626855161436,,,,400.0,0.032771109974768765,4.0,,,0.8399595129717679,0.7862899682571335,0.02916574348348832,0.012240482949453547,1.4721737775545694,0.0018558862679710414
Ridge,gfc,KR,core,0.01566123043325242,90.12852407949295,,,,,,,,,,,,,
ElasticNet,gfc,KR,core,0.015716421920385994,0.01444525102276306,0.3121062261782377,,,,,,,,,,,,
Huber,gfc,KR,core,0.014932845892201781,0.046343808617582666,,1.623724590875202,,,,,,,,,,,
LightGBM,gfc,KR,core,0.018058851414198086,,,,1197.0,0.035703187492851354,5.0,21.0,30.0,0.7492674209401394,0.7229186448467395,0.02294502215823056,0.3413112067028183,,
XGBoost,gfc,KR,core,0.01941277789928167,,,,399.0,0.028512842739464226,4.0,,,0.8715331203998334,0.917548625872557,0.07358985750119172,0.012864725565457785,1.0093968765975885,0.036584067356948
Ridge,gfc,KR,momentum,0.016229381927514,70.41830285015996,,,,,,,,,,,,,
ElasticNet,gfc,KR,momentum,0.016004304152393324,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
Huber,gfc,KR,momentum,0.015080524091948464,0.21423021757741043,,1.1522752509513796,,,,,,,,,,,
LightGBM,gfc,KR,momentum,0.017589415078096474,,,,1116.0,0.02543633284198414,5.0,182.0,26.0,0.7517204207164212,0.7303524278806616,0.00042049921696040175,0.00028195787929930123,,
XGBoost,gfc,KR,momentum,0.019149399809136075,,,,399.0,0.028512842739464226,4.0,,,0.8715331203998334,0.917548625872557,0.07358985750119172,0.012864725565457785,1.0093968765975885,0.036584067356948
Ridge,gfc,KR,extended,0.015546925427996346,0.010735378215036796,,,,,,,,,,,,,
ElasticNet,gfc,KR,extended,0.015583082915415276,0.00012674255898937226,0.9229188669457948,,,,,,,,,,,,
Huber,gfc,KR,extended,0.014588936532619463,0.003289388511498223,,1.7225908884204588,,,,,,,,,,,
LightGBM,gfc,KR,extended,0.021123003189434275,,,,1056.0,0.04324193544557397,5.0,15.0,31.0,0.8476671509616371,0.7444290538185876,0.0004546372900717983,0.5449873184014313,,
XGBoost,gfc,KR,extended,0.020789254123449542,,,,391.0,0.02800172197677303,4.0,,,0.8781032317871501,0.8958043600674943,0.032401997265097605,0.01505549494627257,1.063481915699228,0.006214432975803091
Ridge,gfc,JP,core,0.012025442939122352,21.42302175774105,,,,,,,,,,,,,
ElasticNet,gfc,JP,core,0.011537831223699968,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
Huber,gfc,JP,core,0.012023824961182851,0.345401306845622,,1.5249813524186864,,,,,,,,,,,
LightGBM,gfc,JP,core,0.011835038374338202,,,,294.0,0.014828938967542457,6.0,136.0,46.0,0.7761945861836954,0.6432853886705212,0.0005431803534769909,0.09493468554299345,,
XGBoost,gfc,JP,core,0.011715815986212545,,,,327.0,0.02315605912918375,4.0,,,0.9022926103280887,0.7863055967096355,0.005760527995022936,0.006361226904953435,1.534768915036734,0.17763263216104566
Ridge,gfc,JP,momentum,0.011856117580561132,22.51480546495901,,,,,,,,,,,,,
ElasticNet,gfc,JP,momentum,0.011373966527423302,0.0074593432857265485,0.9056428757689245,,,,,,,,,,,,
Huber,gfc,JP,momentum,0.011928118755697478,0.8485748912898157,,1.5629529905033384,,,,,,,,,,,
LightGBM,gfc,JP,momentum,0.011844307253829718,,,,466.0,0.015756475206638376,4.0,138.0,29.0,0.8443499477726444,0.8651264476203966,0.018697348386985498,0.002474021876783665,,
XGBoost,gfc,JP,momentum,0.011408675951217286,,,,399.0,0.026759179642958136,4.0,,,0.8606872792106469,0.8445688988989989,0.01818011123105649,0.029163991155219927,1.1214158174861493,0.009350563082860072
Ridge,gfc,JP,extended,0.011483317596210615,26.003729600655458,,,,,,,,,,,,,
ElasticNet,gfc,JP,extended,0.011190357311740859,0.007301619300638306,0.3731482393643766,,,,,,,,,,,,
