model,regime,country,protocol,phase,RMSE,MAE,QLIKE,RMSE_CV
GARCH,covid,JP,static,Pre-crash,0.6060982651571156,0.5760539378559512,0.25899070933096874,1.1293312669611333
GARCH,covid,JP,static,Crash,1.0178534562424426,0.63777813687952,0.07819328326682161,0.4446674086152934
GARCH,covid,JP,static,Recovery,0.802394302535589,0.704793254365477,0.21650281781419384,1.0225885251619482
GARCH,covid,JP,expanding,Full Test,0.7996865690327137,0.682782965888856,0.21157457691941509,0.9187775494942017
GARCH,covid,JP,expanding,Pre-crash,0.6075196520887989,0.5774393531921049,0.25963969569902084,1.1319797099557418
GARCH,covid,JP,expanding,Crash,1.0120590800876295,0.6344474437330452,0.07736778084641428,0.4421360322039829
GARCH,covid,JP,expanding,Recovery,0.8050913813261107,0.7064104612649484,0.21675619092833998,1.0260257402741813
HAR_RV,covid,JP,static,Full Test,0.43299382004560305,0.22749776282149767,0.06322159662475732,0.4974761567007863
HAR_RV,covid,JP,static,Pre-crash,0.17370560571543597,0.1297128554435362,0.051955085579748504,0.3236623218679102
HAR_RV,covid,JP,static,Crash,1.203099978251932,0.7108305922132685,0.16245053127208686,0.5255956506837028
HAR_RV,covid,JP,static,Recovery,0.2944270601683369,0.19547398962272922,0.055084204722531685,0.3752241663156051
HAR_RV,covid,JP,expanding,Full Test,0.43215345750117606,0.22767960997990147,0.06308024644198408,0.4965106456253793
HAR_RV,covid,JP,expanding,Pre-crash,0.17374141139583646,0.12972767863885937,0.05198022094202488,0.32372903790512014
HAR_RV,covid,JP,expanding,Crash,1.2028283311386623,0.7205120702387453,0.16202366284503245,0.5254769768046934
HAR_RV,covid,JP,expanding,Recovery,0.2929531588752715,0.19471507766450558,0.05494248262392351,0.3733457948656244
