regime,country,tier,model,feature,importance_raw,importance_norm,rank
normal,JP,extended,XGBoost,neg_return,0.014608103781938553,0.05776259524200369,15
normal,JP,extended,XGBoost,semivariance,0.014798355288803577,0.05851487773871028,13
normal,JP,extended,XGBoost,parkinson_rv,0.22603610157966614,0.8937800580092844,2
normal,JP,extended,XGBoost,hl_range,0.25289902091026306,1.0,1
normal,JP,extended,XGBoost,weekday_sin,0.007961183786392212,0.03147969398116849,25
normal,JP,extended,XGBoost,weekday_cos,0.01152744796127081,0.04558122811144109,21
normal,JP,extended,XGBoost,momentum_1w,0.014259092509746552,0.05638255323576816,16
normal,JP,extended,XGBoost,momentum_1m,0.025968430563807487,0.10268300158038945,7
normal,JP,extended,XGBoost,momentum_3m,0.029109036549925804,0.11510142050037692,6
normal,JP,extended,XGBoost,momentum_6m,0.013526063412427902,0.05348404815385741,18
normal,JP,extended,XGBoost,fx_level,0.01688343845307827,0.06675960386208483,10
normal,JP,extended,XGBoost,fx_change,0.007404572796076536,0.029278772094194556,27
normal,JP,extended,XGBoost,rate_3y,0.01635889708995819,0.06468549000734514,11
normal,JP,extended,XGBoost,rate_10y,0.007712952792644501,0.03049815204852577,26
normal,JP,extended,XGBoost,rate_spread,0.011484173126518726,0.04541011303714652,22
normal,JP,extended,XGBoost,policy_rate,0.005824665073305368,0.023031584117410055,28
normal,JP,extended,XGBoost,gold_chg,0.014865159057080746,0.05877902968377009,12
normal,JP,extended,XGBoost,crb_chg,0.01375242043286562,0.054379097172327265,17
normal,JP,extended,XGBoost,wti_chg,0.012248293496668339,0.0484315575939475,20
normal,JP,extended,XGBoost,natgas_chg,0.012757997028529644,0.0504470004771454,19
normal,JP,extended,XGBoost,corn_chg,0.008180368691682816,0.032346383399346895,24
normal,JP,extended,XGBoost,epu,0.03037625178694725,0.12011217630504686,5
normal,JP,extended,XGBoost,spillover_SP500,0.009968889877200127,0.03941845975250896,23
normal,JP,extended,XGBoost,spillover_KOSPI,0.014745000749826431,0.05830390602840035,14
normal,JP,momentum,XGBoost,RV_d,0.08596976846456528,0.2516759322027983,4
